tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
0,1,2,2,T,0,890,890,890,,,,,,,None,3622.2541055609836,None,3621.263276745198,3622.2624153030083,3621.7545139923423,None,2,"[0.008774779693339951, 0.14183937470806995]","[0.017555011552758515, 0.6500883411208633]",3622.2541055609836,None,[2 0 3 3 0 3 2 2],space,0,1.488631461503246,0.003075053551583551,None,3622.403962826491,None,1,3623.894363967982,None,None,3624.3939385707663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,8,2,2,T,0,891,891,891,,,,,,,None,3625.4264000921066,None,3624.443958310814,None,3624.9268046748766,None,1,[0.008644248431664892],[0.5171488252017298],3625.4264000921066,None,[2 1 0 1 0 3 3 0],space,0,1.0726600795969716,0.002887114187615225,None,3625.4430461955562,None,1,3626.5171315065563,None,None,3627.016708354352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,7,1,2,T,0,892,892,892,,,,,,,None,3628.049164102813,None,3627.058339135612,None,3627.5495959464097,None,1,[0.008654511329950765],[0.5175753769945004],3628.049164102813,None,[2 2 1 3 1 3 2 3],space,0,0.5457502741337521,0.002553569938754663,None,3628.0658175827193,None,1,3628.6153490652905,None,None,3629.114925592369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,6,1,2,T,0,893,893,893,,,,,,,None,3630.147379095819,None,3629.1565624672257,3630.1557074393495,3629.647808373691,None,1,[0.133905832117307],[0.6341895050936728],3630.147379095819,None,[1 2 2 2 1 1 2 1],space,0,0.5382570741094241,0.0022399100453185383,None,3630.280601482922,None,1,3630.8218129605666,None,None,3631.3213805076075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,5,1,2,T,0,894,894,894,,,,,,,None,3632.3538394632233,None,3631.371404096244,None,3631.8542639303632,None,1,[0.008598386095400201],[0.5171193193637009],3632.3538394632233,None,[3 1 2 1 2 0 1 2],space,0,0.5452996686726692,0.0028778134364984,None,3632.3704945467107,None,1,3632.9200260292782,None,None,3633.419598707772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,4,1,2,T,0,895,895,895,,,,,,,None,3634.4520618326897,None,3633.4696075434877,None,3633.9524898277014,None,1,[0.00824239174471586],[0.5169525472374517],3634.4520618326897,None,[2 3 0 2 2 2 3 0],space,0,0.6056435977006913,0.0017610816066735424,None,3634.468731989811,None,1,3635.0765246740957,None,None,3635.576100559744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,3,4,2,T,0,896,896,896,,,,,,,None,3636.6085556667713,None,3635.6261183754978,3636.6252094673946,3636.1089865482245,None,2,"[0.008625005491921911, 0.8833749675686704]","[0.35824160599077004, 1.3910290064850415]",3636.6085556667713,None,[2 1 2 3 0 0 1 2],space,0,0.536831813842582,0.003042981988983229,None,3637.499471300278,None,1,3638.032345133637,None,None,3638.5319341686254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,2,3,2,T,0,897,897,897,,,,,,,None,3639.564378050607,None,3638.5735550077006,None,3639.0648002727357,None,1,[0.008893444475688739],[0.5172399084403878],3639.564378050607,None,[0 1 3 2 2 0 1 3],space,0,0.5504064236847626,0.002323296110262163,None,3639.5810315305134,None,1,3640.1305620509374,None,None,3640.6301414644577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,4,2,0,T,0,898,898,898,,,,,,,None,3641.6626097208245,None,3640.6717793014614,None,3641.163026490791,None,1,[0.008645531295769615],[0.5174223956382775],3641.6626097208245,None,[3 3 1 3 2 0 1 3],space,0,1.715429369283811,0.002313674642209662,None,3641.6792429956513,None,1,3643.3944548908657,None,None,3643.894018268601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,3,2,2,T,0,899,899,899,,,,,,,None,3644.9181581814373,None,3643.9440405743735,3644.9431377598703,3644.4185842521547,None,1,[0.08387836282417993],[0.5915208559781604],3644.9181581814373,None,[1 3 1 3 1 0 2 3],space,0,1.4574258305074181,0.0030737706874788273,None,3645.009763225269,None,1,3646.4668455404644,None,space,3646.974745247553,None,1.0340253917020163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
